plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008-09,generation_2009-10,generation_2010-11,generation_2011-12,generation_2012-13,generation_2013-14,generation_2014-15,generation_2021-22,generation_2022-23,generation_2023-24,generation_2024-25,generation_2007-08,plant_load_factor_2015-16,plant_load_factor_2016-17,plant_load_factor_2017-18,plant_load_factor_2018-19,plant_load_factor_2019-20,plant_load_factor_2020-21,plant_load_factor_2008-09,plant_load_factor_2009-10,plant_load_factor_2010-11,plant_load_factor_2011-12,plant_load_factor_2012-13,plant_load_factor_2013-14,plant_load_factor_2014-15,plant_load_factor_2021-22,plant_load_factor_2022-23,plant_load_factor_2023-24,plant_load_factor_2024-25,plant_load_factor_2007-08
panipat-tps-haryana-power-generation-corp-ltd-hpgcl,Panipat Thermal Power Station Stage VI Unit 8,8.0,Panipat TPS,Haryana,Panipat,01-03-1989 00:00,210.0,Haryana Power Generation Corp. Ltd.(HPGCL),decommissioned,retired,1989,1988-89,1980-1989,coal,Subcritical,811.11,682.3199999999999,673.69,1569.2999999999997,1088.37,521.350985915493,2067.67,2122.8,1972.67,2088.76,1997.06,1735.38,1407.4,1180.1399999999999,1678.6899999999998,1169.35,1408.26,,36.935792349726775,31.15616438356164,30.762100456621006,71.65753424657532,49.56147540983606,23.805981092031644,94.4,96.9,90.1,95.1,91.2,79.2,64.3,53.8876712328767,76.6525114155251,53.249089253187606,85.3490909090909,
panipat-tps-haryana-power-generation-corp-ltd-hpgcl,Panipat Thermal Power Station Stage VI Unit 8,8.0,Panipat TPS,Haryana,Panipat,01-03-2001 00:00,210.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2001,2000-01,2000-2009,coal,Subcritical,811.11,682.3199999999999,673.69,1569.2999999999997,1088.37,521.350985915493,2067.67,2122.8,1972.67,2088.76,1997.06,1735.38,1407.4,1180.1399999999999,1678.6899999999998,1169.35,1408.26,,36.935792349726775,31.15616438356164,30.762100456621006,71.65753424657532,49.56147540983606,23.805981092031644,94.4,96.9,90.1,95.1,91.2,79.2,64.3,53.8876712328767,76.6525114155251,53.249089253187606,85.3490909090909,
panipat-tps-haryana-power-generation-corp-ltd-hpgcl,Panipat Thermal Power Station Stage VI Unit 8,8.0,Panipat TPS,Haryana,Panipat,01-09-2004 00:00,250.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2004,2004-05,2000-2009,coal,Subcritical,811.11,682.3199999999999,673.69,1569.2999999999997,1088.37,521.350985915493,2067.67,2122.8,1972.67,2088.76,1997.06,1735.38,1407.4,1180.1399999999999,1678.6899999999998,1169.35,1408.26,,36.935792349726775,31.15616438356164,30.762100456621006,71.65753424657532,49.56147540983606,23.805981092031644,94.4,96.9,90.1,95.1,91.2,79.2,64.3,53.8876712328767,76.6525114155251,53.249089253187606,85.3490909090909,
panipat-tps-haryana-power-generation-corp-ltd-hpgcl,Panipat Thermal Power Station Stage VI Unit 8,8.0,Panipat TPS,Haryana,Panipat,01-01-2005 00:00,250.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2005,2004-05,2000-2009,coal,Subcritical,811.11,682.3199999999999,673.69,1569.2999999999997,1088.37,521.350985915493,2067.67,2122.8,1972.67,2088.76,1997.06,1735.38,1407.4,1180.1399999999999,1678.6899999999998,1169.35,1408.26,,36.935792349726775,31.15616438356164,30.762100456621006,71.65753424657532,49.56147540983606,23.805981092031644,94.4,96.9,90.1,95.1,91.2,79.2,64.3,53.8876712328767,76.6525114155251,53.249089253187606,85.3490909090909,
yamuna-nagar-or-deenbandhu-chotu-ram-tps-haryana-power-generation-corp-ltd-hpgcl,Yamuna Nagar Thermal Power Station or Deenbandhu Chotu Ram Thermal Power Plant Unit 1,1.0,Yamuna Nagar or Deenbandhu Chotu Ram TPS,Haryana,Yamuna Nagar,01-04-2007 00:00,300.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2007,2007-08,2000-2009,coal,Subcritical,1944.3699999999997,1824.85,1296.89,1346.672,1536.5,1362.61,1828.93,2253.1,2235.96,2424.08,246.84,2182.62,1980.03,1013.4499999999998,2175.79,1826.19,1152.0599999999997,,73.78453248330297,69.43873668188736,49.34893455098934,51.243226788432274,58.30676988463873,51.849695585996955,68.7,85.7,85.1,92.0,9.4,83.1,75.3,38.563546423135456,82.79261796042618,69.29986338797815,58.18484848484847,
yamuna-nagar-or-deenbandhu-chotu-ram-tps-haryana-power-generation-corp-ltd-hpgcl,Yamuna Nagar Thermal Power Station or Deenbandhu Chotu Ram Thermal Power Plant Unit 1,1.0,Yamuna Nagar or Deenbandhu Chotu Ram TPS,Haryana,Yamuna Nagar,01-06-2008 00:00,300.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2008,2008-09,2000-2009,coal,Subcritical,1944.3699999999997,1824.85,1296.89,1346.672,1536.5,1362.61,1828.93,2253.1,2235.96,2424.08,246.84,2182.62,1980.03,1013.4499999999998,2175.79,1826.19,1152.0599999999997,,73.78453248330297,69.43873668188736,49.34893455098934,51.243226788432274,58.30676988463873,51.849695585996955,68.7,85.7,85.1,92.0,9.4,83.1,75.3,38.563546423135456,82.79261796042618,69.29986338797815,58.18484848484847,
yamuna-nagar-or-deenbandhu-chotu-ram-tps-haryana-power-generation-corp-ltd-hpgcl,Yamuna Nagar Thermal Power Station or Deenbandhu Chotu Ram Thermal Power Plant Unit 1,1.0,Yamuna Nagar or Deenbandhu Chotu Ram TPS,Haryana,Yamuna Nagar,N.A.,800.0,Haryana Power Generation Corp. Ltd.(HPGCL),under-construction-likely-to-be-commissioned,pipeline,N.A.,N.A.,N.A.,coal,Ultra-Supercritical,1944.3699999999997,1824.85,1296.89,1346.672,1536.5,1362.61,1828.93,2253.1,2235.96,2424.08,246.84,2182.62,1980.03,1013.4499999999998,2175.79,1826.19,1152.0599999999997,,73.78453248330297,69.43873668188736,49.34893455098934,51.243226788432274,58.30676988463873,51.849695585996955,68.7,85.7,85.1,92.0,9.4,83.1,75.3,38.563546423135456,82.79261796042618,69.29986338797815,58.18484848484847,
yamuna-nagar-or-deenbandhu-chotu-ram-tps-haryana-power-generation-corp-ltd-hpgcl,Yamuna Nagar Thermal Power Station or Deenbandhu Chotu Ram Thermal Power Plant Unit 2,2.0,Yamuna Nagar or Deenbandhu Chotu Ram TPS,Haryana,Yamuna Nagar,01-04-2007 00:00,300.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2007,2007-08,2000-2009,coal,Subcritical,2020.36,1558.2,1800.46,1969.3020000000004,1125.8999999999999,1252.5100000000002,1575.47,2022.8,1645.25,814.62,716.48,1289.74,1535.66,1594.8799999999999,2050.19,1652.91,1370.2800000000002,,76.66818457802064,59.29223744292238,68.51065449010655,74.9353881278539,42.725409836065566,47.66019786910199,71.2,77.0,62.6,30.9,27.3,49.1,58.4,60.68797564687974,78.01331811263317,62.724271402550094,69.20606060606062,
yamuna-nagar-or-deenbandhu-chotu-ram-tps-haryana-power-generation-corp-ltd-hpgcl,Yamuna Nagar Thermal Power Station or Deenbandhu Chotu Ram Thermal Power Plant Unit 2,2.0,Yamuna Nagar or Deenbandhu Chotu Ram TPS,Haryana,Yamuna Nagar,01-06-2008 00:00,300.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2008,2008-09,2000-2009,coal,Subcritical,2020.36,1558.2,1800.46,1969.3020000000004,1125.8999999999999,1252.5100000000002,1575.47,2022.8,1645.25,814.62,716.48,1289.74,1535.66,1594.8799999999999,2050.19,1652.91,1370.2800000000002,,76.66818457802064,59.29223744292238,68.51065449010655,74.9353881278539,42.725409836065566,47.66019786910199,71.2,77.0,62.6,30.9,27.3,49.1,58.4,60.68797564687974,78.01331811263317,62.724271402550094,69.20606060606062,
yamuna-nagar-or-deenbandhu-chotu-ram-tps-haryana-power-generation-corp-ltd-hpgcl,Yamuna Nagar Thermal Power Station or Deenbandhu Chotu Ram Thermal Power Plant Unit 2,2.0,Yamuna Nagar or Deenbandhu Chotu Ram TPS,Haryana,Yamuna Nagar,N.A.,800.0,Haryana Power Generation Corp. Ltd.(HPGCL),under-construction-likely-to-be-commissioned,pipeline,N.A.,N.A.,N.A.,coal,Ultra-Supercritical,2020.36,1558.2,1800.46,1969.3020000000004,1125.8999999999999,1252.5100000000002,1575.47,2022.8,1645.25,814.62,716.48,1289.74,1535.66,1594.8799999999999,2050.19,1652.91,1370.2800000000002,,76.66818457802064,59.29223744292238,68.51065449010655,74.9353881278539,42.725409836065566,47.66019786910199,71.2,77.0,62.6,30.9,27.3,49.1,58.4,60.68797564687974,78.01331811263317,62.724271402550094,69.20606060606062,
rajiv-gandhi-tps-haryana-power-generation-corp-ltd-hpgcl,Rajiv Gandhi Thermal Power Station/ RGTPP Unit 1,1.0,Rajiv Gandhi TPS,Haryana,Hisar,01-03-2010 00:00,600.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2010,2009-10,2010-2019,coal,Subcritical,2223.86,1971.15,2131.9900000000002,1571.364,739.5900000000001,1182.715,N.F.,N.F.,N.F.,2785.97,1802.53,2779.02,3509.31,2612.3600000000006,3550.56,2445.04,2155.3999999999996,,42.19527929568913,37.50285388127853,40.56297564687977,29.896575342465752,14.032900728597452,22.50218797564688,N.F.,N.F.,N.F.,82.1,34.3,52.9,66.8,49.70243531202436,67.55251141552512,46.39192471159684,54.42929292929291,
rajiv-gandhi-tps-haryana-power-generation-corp-ltd-hpgcl,Rajiv Gandhi Thermal Power Station/ RGTPP Unit 1,1.0,Rajiv Gandhi TPS,Haryana,Hisar,01-10-2010 00:00,600.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2010,2010-11,2010-2019,coal,Subcritical,2223.86,1971.15,2131.9900000000002,1571.364,739.5900000000001,1182.715,N.F.,N.F.,N.F.,2785.97,1802.53,2779.02,3509.31,2612.3600000000006,3550.56,2445.04,2155.3999999999996,,42.19527929568913,37.50285388127853,40.56297564687977,29.896575342465752,14.032900728597452,22.50218797564688,N.F.,N.F.,N.F.,82.1,34.3,52.9,66.8,49.70243531202436,67.55251141552512,46.39192471159684,54.42929292929291,
rajiv-gandhi-tps-haryana-power-generation-corp-ltd-hpgcl,Rajiv Gandhi Thermal Power Station/ RGTPP Unit 2,2.0,Rajiv Gandhi TPS,Haryana,Hisar,01-03-2010 00:00,600.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2010,2009-10,2010-2019,coal,Subcritical,2314.03,1752.11,2041.2500000000002,2145.606,1500.4900000000002,397.055,N.F.,N.F.,N.F.,2629.9,3161.18,1602.96,2188.08,0,3073.11,1771.64,2302.7599999999998,,43.90615513054038,33.33542617960426,38.83656773211568,40.822031963470316,28.47013509411051,7.55431887366819,N.F.,N.F.,N.F.,57.2,60.1,30.5,41.6,0,58.46860730593607,33.61490588949606,58.15050505050504,
rajiv-gandhi-tps-haryana-power-generation-corp-ltd-hpgcl,Rajiv Gandhi Thermal Power Station/ RGTPP Unit 2,2.0,Rajiv Gandhi TPS,Haryana,Hisar,01-10-2010 00:00,600.0,Haryana Power Generation Corp. Ltd.(HPGCL),operational,operational,2010,2010-11,2010-2019,coal,Subcritical,2314.03,1752.11,2041.2500000000002,2145.606,1500.4900000000002,397.055,N.F.,N.F.,N.F.,2629.9,3161.18,1602.96,2188.08,0,3073.11,1771.64,2302.7599999999998,,43.90615513054038,33.33542617960426,38.83656773211568,40.822031963470316,28.47013509411051,7.55431887366819,N.F.,N.F.,N.F.,57.2,60.1,30.5,41.6,0,58.46860730593607,33.61490588949606,58.15050505050504,
mahatma-gandhi-tps-or-jhajjhar-tps-clp-india-private-limited-jhajjar-power-ltd,Mahatma Gandhi Thermal Power Station or Jhajjhar TPS Unit 1,1.0,Mahatma Gandhi TPS or Jhajjhar TPS,Haryana,Jhajjar,01-01-2012 00:00,660.0,CLP India Private Limited (Jhajjar Power Ltd.),operational,operational,2012,2011-12,2010-2019,coal,Supercritical,2343.77,1466.1,3437.76,3340.528,3198.4899999999993,1818.215,N.F.,N.F.,N.F.,N.F.,1851.42,3218.77,3125.29,4170.439999999999,3933.38,4330.8099999999995,2952.29,,40.427671523983,25.358032378580326,59.46035699460357,57.77860799778608,55.17073052933708,31.44830150823302,N.F.,N.F.,N.F.,N.F.,32,55.7,54.1,72.1329735713297,68.03272450532725,74.702109896782,67.77525252525253,
mahatma-gandhi-tps-or-jhajjhar-tps-clp-india-private-limited-jhajjar-power-ltd,Mahatma Gandhi Thermal Power Station or Jhajjhar TPS Unit 1,1.0,Mahatma Gandhi TPS or Jhajjhar TPS,Haryana,Jhajjar,01-07-2012 00:00,660.0,CLP India Private Limited (Jhajjar Power Ltd.),operational,operational,2012,2012-13,2010-2019,coal,Supercritical,2343.77,1466.1,3437.76,3340.528,3198.4899999999993,1818.215,N.F.,N.F.,N.F.,N.F.,1851.42,3218.77,3125.29,4170.439999999999,3933.38,4330.8099999999995,2952.29,,40.427671523983,25.358032378580326,59.46035699460357,57.77860799778608,55.17073052933708,31.44830150823302,N.F.,N.F.,N.F.,N.F.,32,55.7,54.1,72.1329735713297,68.03272450532725,74.702109896782,67.77525252525253,
mahatma-gandhi-tps-or-jhajjhar-tps-clp-india-private-limited-jhajjar-power-ltd,Mahatma Gandhi Thermal Power Station or Jhajjhar TPS Unit 2,2.0,Mahatma Gandhi TPS or Jhajjhar TPS,Haryana,Jhajjar,01-01-2012 00:00,660.0,CLP India Private Limited (Jhajjar Power Ltd.),operational,operational,2012,2011-12,2010-2019,coal,Supercritical,2531.350000000001,1407.43,3151.8800000000006,3553.041,2635.81,3022.795,N.F.,N.F.,N.F.,N.F.,1223.72,2988.74,3412.19,3581.5399999999995,4220.589999999999,3921.5699999999997,3167.9799999999996,,43.66323756692611,24.343261380932613,54.51570499515705,61.454286010792856,45.465067340067336,52.283018541580184,N.F.,N.F.,N.F.,N.F.,27.6,51.7,59,61.94721184447211,73.0003805175038,67.64313214108296,72.72681359044995,
mahatma-gandhi-tps-or-jhajjhar-tps-clp-india-private-limited-jhajjar-power-ltd,Mahatma Gandhi Thermal Power Station or Jhajjhar TPS Unit 2,2.0,Mahatma Gandhi TPS or Jhajjhar TPS,Haryana,Jhajjar,01-07-2012 00:00,660.0,CLP India Private Limited (Jhajjar Power Ltd.),operational,operational,2012,2012-13,2010-2019,coal,Supercritical,2531.350000000001,1407.43,3151.8800000000006,3553.041,2635.81,3022.795,N.F.,N.F.,N.F.,N.F.,1223.72,2988.74,3412.19,3581.5399999999995,4220.589999999999,3921.5699999999997,3167.9799999999996,,43.66323756692611,24.343261380932613,54.51570499515705,61.454286010792856,45.465067340067336,52.283018541580184,N.F.,N.F.,N.F.,N.F.,27.6,51.7,59,61.94721184447211,73.0003805175038,67.64313214108296,72.72681359044995,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 1,1.0,Indira Gandhi STPP,Haryana,Jhajjar,01-10-2010 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2010,2010-11,2010-2019,coal,Subcritical,1355.23,1848.67,2383.8700000000003,2357.123,1162.54,1030.8600000000001,N.F.,N.F.,N.F.,2421.6,2594.42,2098.35,2968.91,2076.08,2670.94,2829.41,2266.83,,30.85678506375228,42.207077625570776,54.42625570776257,53.815593607305935,26.469489981785067,23.535616438356165,N.F.,N.F.,N.F.,55.1,59.2,47.9,67.8,47.399086757990865,60.980365296803654,64.42190346083788,68.69181818181819,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 1,1.0,Indira Gandhi STPP,Haryana,Jhajjar,01-11-2011 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2011,2011-12,2010-2019,coal,Subcritical,1355.23,1848.67,2383.8700000000003,2357.123,1162.54,1030.8600000000001,N.F.,N.F.,N.F.,2421.6,2594.42,2098.35,2968.91,2076.08,2670.94,2829.41,2266.83,,30.85678506375228,42.207077625570776,54.42625570776257,53.815593607305935,26.469489981785067,23.535616438356165,N.F.,N.F.,N.F.,55.1,59.2,47.9,67.8,47.399086757990865,60.980365296803654,64.42190346083788,68.69181818181819,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 1,1.0,Indira Gandhi STPP,Haryana,Jhajjar,07-11-2012 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2012,2012-13,2010-2019,coal,Subcritical,1355.23,1848.67,2383.8700000000003,2357.123,1162.54,1030.8600000000001,N.F.,N.F.,N.F.,2421.6,2594.42,2098.35,2968.91,2076.08,2670.94,2829.41,2266.83,,30.85678506375228,42.207077625570776,54.42625570776257,53.815593607305935,26.469489981785067,23.535616438356165,N.F.,N.F.,N.F.,55.1,59.2,47.9,67.8,47.399086757990865,60.980365296803654,64.42190346083788,68.69181818181819,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 2,2.0,Indira Gandhi STPP,Haryana,Jhajjar,01-10-2010 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2010,2010-11,2010-2019,coal,Subcritical,1989.86,1697.7199999999998,2195.9,2369.3320000000003,1284.78,1253.31,N.F.,N.F.,N.F.,N.F.,2359.35,1785.19,2117.25,2689.17,2470.38,2956.5299999999997,2273.4300000000003,,45.306466302367944,38.7607305936073,50.13470319634703,54.09433789954339,29.252732240437158,28.614383561643837,N.F.,N.F.,N.F.,N.F.,56.4,40.8,48.3,61.39657534246575,56.4013698630137,67.31625683060109,68.8918181818182,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 2,2.0,Indira Gandhi STPP,Haryana,Jhajjar,01-11-2011 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2011,2011-12,2010-2019,coal,Subcritical,1989.86,1697.7199999999998,2195.9,2369.3320000000003,1284.78,1253.31,N.F.,N.F.,N.F.,N.F.,2359.35,1785.19,2117.25,2689.17,2470.38,2956.5299999999997,2273.4300000000003,,45.306466302367944,38.7607305936073,50.13470319634703,54.09433789954339,29.252732240437158,28.614383561643837,N.F.,N.F.,N.F.,N.F.,56.4,40.8,48.3,61.39657534246575,56.4013698630137,67.31625683060109,68.8918181818182,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 2,2.0,Indira Gandhi STPP,Haryana,Jhajjar,07-11-2012 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2012,2012-13,2010-2019,coal,Subcritical,1989.86,1697.7199999999998,2195.9,2369.3320000000003,1284.78,1253.31,N.F.,N.F.,N.F.,N.F.,2359.35,1785.19,2117.25,2689.17,2470.38,2956.5299999999997,2273.4300000000003,,45.306466302367944,38.7607305936073,50.13470319634703,54.09433789954339,29.252732240437158,28.614383561643837,N.F.,N.F.,N.F.,N.F.,56.4,40.8,48.3,61.39657534246575,56.4013698630137,67.31625683060109,68.8918181818182,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 3,3.0,Indira Gandhi STPP,Haryana,Jhajjar,01-10-2010 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2010,2010-11,2010-2019,coal,Subcritical,2366.11,1818.57,2584.48,2669.121,1314.08,1363.7300000000002,N.F.,N.F.,N.F.,N.F.,N.F.,1499.07,1936.77,2296.85,3125.4199999999996,2504.1800000000003,2297.3,,53.87317850637523,41.51986301369863,59.006392694063926,60.93883561643836,29.919854280510016,31.135388127853886,N.F.,N.F.,N.F.,N.F.,N.F.,35.2,44.2,52.43949771689498,71.35662100456621,57.01684881602915,69.61515151515152,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 3,3.0,Indira Gandhi STPP,Haryana,Jhajjar,01-11-2011 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2011,2011-12,2010-2019,coal,Subcritical,2366.11,1818.57,2584.48,2669.121,1314.08,1363.7300000000002,N.F.,N.F.,N.F.,N.F.,N.F.,1499.07,1936.77,2296.85,3125.4199999999996,2504.1800000000003,2297.3,,53.87317850637523,41.51986301369863,59.006392694063926,60.93883561643836,29.919854280510016,31.135388127853886,N.F.,N.F.,N.F.,N.F.,N.F.,35.2,44.2,52.43949771689498,71.35662100456621,57.01684881602915,69.61515151515152,
indira-gandhi-stpp-ntpc-ltd-ipgcl-hpgcl,Indira Gandhi Super Thermal Power Project Unit 3,3.0,Indira Gandhi STPP,Haryana,Jhajjar,07-11-2012 00:00,500.0,NTPC Ltd. & IPGCL & HPGCL,operational,operational,2012,2012-13,2010-2019,coal,Subcritical,2366.11,1818.57,2584.48,2669.121,1314.08,1363.7300000000002,N.F.,N.F.,N.F.,N.F.,N.F.,1499.07,1936.77,2296.85,3125.4199999999996,2504.1800000000003,2297.3,,53.87317850637523,41.51986301369863,59.006392694063926,60.93883561643836,29.919854280510016,31.135388127853886,N.F.,N.F.,N.F.,N.F.,N.F.,35.2,44.2,52.43949771689498,71.35662100456621,57.01684881602915,69.61515151515152,
mahadev-prasad-or-jamshedpur-kandra-stpp-adhunik,Mahadev Prasad Super Thermal Power Station or Jamshedpur Kandra power station/ AHUNIK Power & Nat. Res. Unit 1,1.0,Mahadev Prasad or Jamshedpur Kandra STPP,Jharkhand,Saraikela Kharsawan,01-11-2012 00:00,270.0,ADHUNIK,operational,operational,2012,2012-13,2010-2019,coal,Subcritical,1575.0600000000002,1573.78,1966.08,1658.0477000000003,1560.3700000000003,1523.6899999999998,N.F.,N.F.,N.F.,N.F.,341.98,1368.2,1226.98,1662.4700000000003,1882.2199999999998,2076.61,1336.43,,66.41115158874723,66.5389819042787,83.12531709791983,70.10179688821243,65.79175942791609,64.42119059698967,N.F.,N.F.,N.F.,N.F.,61.6,57.8,51.9,70.28877050566548,79.5797395569085,87.55860824394523,74.99607182940517,
mahadev-prasad-or-jamshedpur-kandra-stpp-adhunik,Mahadev Prasad Super Thermal Power Station or Jamshedpur Kandra power station/ AHUNIK Power & Nat. Res. Unit 1,1.0,Mahadev Prasad or Jamshedpur Kandra STPP,Jharkhand,Saraikela Kharsawan,29-03-2013 00:00,270.0,ADHUNIK,operational,operational,2013,2012-13,2010-2019,coal,Subcritical,1575.0600000000002,1573.78,1966.08,1658.0477000000003,1560.3700000000003,1523.6899999999998,N.F.,N.F.,N.F.,N.F.,341.98,1368.2,1226.98,1662.4700000000003,1882.2199999999998,2076.61,1336.43,,66.41115158874723,66.5389819042787,83.12531709791983,70.10179688821243,65.79175942791609,64.42119059698967,N.F.,N.F.,N.F.,N.F.,61.6,57.8,51.9,70.28877050566548,79.5797395569085,87.55860824394523,74.99607182940517,
mahadev-prasad-or-jamshedpur-kandra-stpp-adhunik,Mahadev Prasad Super Thermal Power Station or Jamshedpur Kandra power station/ AHUNIK Power & Nat. Res. Unit 2,2.0,Mahadev Prasad or Jamshedpur Kandra STPP,Jharkhand,Saraikela Kharsawan,01-11-2012 00:00,270.0,ADHUNIK,operational,operational,2012,2012-13,2010-2019,coal,Subcritical,1301.4099999999999,1565.07,684.61,1259.7915999999998,1406.5900000000004,1572.3899999999999,N.F.,N.F.,N.F.,N.F.,N.F.,1158.59,985.6,2076.77,1631.9199999999998,1660.5599999999997,1468.03,,54.872917088308704,66.17072552004059,28.94512092000677,53.26363943852528,59.30774809417798,66.48021308980212,N.F.,N.F.,N.F.,N.F.,N.F.,58.7,41.7,87.80525959749704,68.99712497886013,70.01619105444242,82.38103254769922,
mahadev-prasad-or-jamshedpur-kandra-stpp-adhunik,Mahadev Prasad Super Thermal Power Station or Jamshedpur Kandra power station/ AHUNIK Power & Nat. Res. Unit 2,2.0,Mahadev Prasad or Jamshedpur Kandra STPP,Jharkhand,Saraikela Kharsawan,29-03-2013 00:00,270.0,ADHUNIK,operational,operational,2013,2012-13,2010-2019,coal,Subcritical,1301.4099999999999,1565.07,684.61,1259.7915999999998,1406.5900000000004,1572.3899999999999,N.F.,N.F.,N.F.,N.F.,N.F.,1158.59,985.6,2076.77,1631.9199999999998,1660.5599999999997,1468.03,,54.872917088308704,66.17072552004059,28.94512092000677,53.26363943852528,59.30774809417798,66.48021308980212,N.F.,N.F.,N.F.,N.F.,N.F.,58.7,41.7,87.80525959749704,68.99712497886013,70.01619105444242,82.38103254769922,
jojobera-tps-tata-power-co-ltd,Jojobera TPS Unit 1,1.0,Jojobera TPS,Jharkhand,East Singhbhum,01-12-1995 00:00,120.0,Tata Power Co. Ltd.,decommissioned,retired,1995,1995-96,1990-1999,coal,Subcritical,575.8,787.3200000000002,Decommissioned,0,decommissioned,Decommissioned,N.F.,738.98,859.6,798.54,862.61,823.22,834.22,Decommissioned,Decommissioned,Decommissioned,Decommissioned,,54.62583485124469,74.8972602739726,Decommissioned,0,Decommissioned,Decommissioned,N.F.,70.3,81.8,75.8,82.1,78.3,79.4,Decommissioned,Decommissioned,Decommissioned,Decommissioned,
jojobera-tps-tata-power-co-ltd,Jojobera TPS Unit 1,1.0,Jojobera TPS,Jharkhand,East Singhbhum,01-10-2001 00:00,120.0,Tata Power Co. Ltd.,operational,operational,2001,2001-02,2000-2009,coal,Subcritical,575.8,787.3200000000002,Decommissioned,0,decommissioned,Decommissioned,N.F.,738.98,859.6,798.54,862.61,823.22,834.22,Decommissioned,Decommissioned,Decommissioned,Decommissioned,,54.62583485124469,74.8972602739726,Decommissioned,0,Decommissioned,Decommissioned,N.F.,70.3,81.8,75.8,82.1,78.3,79.4,Decommissioned,Decommissioned,Decommissioned,Decommissioned,
jojobera-tps-tata-power-co-ltd,Jojobera TPS Unit 1,1.0,Jojobera TPS,Jharkhand,East Singhbhum,01-08-2002 00:00,120.0,Tata Power Co. Ltd.,operational,operational,2002,2002-03,2000-2009,coal,Subcritical,575.8,787.3200000000002,Decommissioned,0,decommissioned,Decommissioned,N.F.,738.98,859.6,798.54,862.61,823.22,834.22,Decommissioned,Decommissioned,Decommissioned,Decommissioned,,54.62583485124469,74.8972602739726,Decommissioned,0,Decommissioned,Decommissioned,N.F.,70.3,81.8,75.8,82.1,78.3,79.4,Decommissioned,Decommissioned,Decommissioned,Decommissioned,
jojobera-tps-tata-power-co-ltd,Jojobera TPS Unit 2,2.0,Jojobera TPS,Jharkhand,East Singhbhum,01-12-1995 00:00,120.0,Tata Power Co. Ltd.,decommissioned,retired,1995,1995-96,1990-1999,coal,Subcritical,811.1099999999999,762.7,729.7900000000001,768.4929999999998,720.67,695.595,N.F.,791.52,883.41,824.69,891.42,742.09,858.49,717.2799999999999,882.7399999999999,877.78,642.6400000000001,,76.94956739526411,72.55517503805176,69.42446727549468,73.10625951293758,68.36957346690953,66.17151826484017,N.F.,75.3,84,78.2,84.8,70.6,81.7,68.23439878234397,83.97450532724504,83.27451426836673,81.14141414141416,
jojobera-tps-tata-power-co-ltd,Jojobera TPS Unit 2,2.0,Jojobera TPS,Jharkhand,East Singhbhum,01-10-2001 00:00,120.0,Tata Power Co. Ltd.,operational,operational,2001,2001-02,2000-2009,coal,Subcritical,811.1099999999999,762.7,729.7900000000001,768.4929999999998,720.67,695.595,N.F.,791.52,883.41,824.69,891.42,742.09,858.49,717.2799999999999,882.7399999999999,877.78,642.6400000000001,,76.94956739526411,72.55517503805176,69.42446727549468,73.10625951293758,68.36957346690953,66.17151826484017,N.F.,75.3,84,78.2,84.8,70.6,81.7,68.23439878234397,83.97450532724504,83.27451426836673,81.14141414141416,
