plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008-09,generation_2009-10,generation_2010-11,generation_2011-12,generation_2012-13,generation_2013-14,generation_2014-15,generation_2021-22,generation_2022-23,generation_2023-24,generation_2024-25,generation_2007-08,plant_load_factor_2015-16,plant_load_factor_2016-17,plant_load_factor_2017-18,plant_load_factor_2018-19,plant_load_factor_2019-20,plant_load_factor_2020-21,plant_load_factor_2008-09,plant_load_factor_2009-10,plant_load_factor_2010-11,plant_load_factor_2011-12,plant_load_factor_2012-13,plant_load_factor_2013-14,plant_load_factor_2014-15,plant_load_factor_2021-22,plant_load_factor_2022-23,plant_load_factor_2023-24,plant_load_factor_2024-25,plant_load_factor_2007-08
gujarat-patan,,,Gujarat-Patan,Gujarat,Patan,,204.2,,operational,operational,2012,2012-13,2010-2019,wind,,126.18514655999999,284.39480159999994,340.64871840000006,383.15924640000003,374.70242592,296.60033664,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-porbandar,,,Gujarat-Porbandar,Gujarat,Porbandar,,136.8,,operational,operational,2008,2008-09,2000-2009,wind,,108.919404,193.27941359999997,235.11980160000005,256.6904256,251.02493568000003,198.70189056,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-rajkot,,,Gujarat-Rajkot,Gujarat,Rajkot,,670.775,,operational,operational,1995,1994-95,1990-1999,wind,,614.8298653200001,629.9517041999999,784.8068669999999,856.807497,837.8966465999999,663.2474472,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-rajkot-botad,,,Gujarat-Rajkot & Botad,Gujarat,Rajkot & Botad,,105.2,,operational,operational,2016,2015-16,2010-2019,wind,,6.4544832,5.739552,6.874848,7.505568,7.3399104,5.8099967999999995,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-surat,,,Gujarat-Surat,Gujarat,Surat,,1.5,,operational,operational,2017,2016-17,2010-2019,wind,,N.F.,2.152332,2.578068,2.8145880000000005,2.7524664000000003,2.1787488,,,,,,,,,,,,,N.F.,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-surendranagar,,,Gujarat-Surendranagar,Gujarat,Surendranagar,,360.2,,operational,operational,2011,2011-12,2010-2019,wind,,211.70704895999998,343.2252095999999,457.17739200000005,594.6286248,581.5044014399999,460.29699648,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-valsad,,,Gujarat-Valsad,Gujarat,Valsad,,8.8,,operational,operational,2012,2011-12,2010-2019,wind,,14.199863040000002,12.627014400000002,15.124665600000004,16.5122496,16.14780288,12.78199296,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
karnataka-belgaum,,,Karnataka-Belgaum,Karnataka,Belgaum,,836.48,,operational,operational,1998,1997-98,1990-1999,wind,,467.67632255999996,665.5341672,762.6299196000001,995.5317767999999,1065.98829312,1024.8935356799998,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-bellary,,,Karnataka-Bellary,Karnataka,Bellary,,848.87,,operational,operational,2005,2004-05,2000-2009,wind,,378.31142015999995,371.70537120000006,422.2840344,539.6731151999999,547.95575808,473.1405523199999,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
karnataka-bijapur,,,Karnataka-Bijapur,Karnataka,Bijapur,,1124.7,,operational,operational,2009,2008-09,2000-2009,wind,,586.33305408,1331.8646184,1554.8622444000002,2129.6395703999997,2217.5018265600006,1914.7349462400002,,,,,,,,,,,,,18.84,18.18,18.67,23.86,24.16,22.86,,,,,,,,,,,,
