plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008_09,generation_2009_10,generation_2010_11,generation_2011_12,generation_2012_13,generation_2013_14,generation_2014_15,generation_2021_22,generation_2022_23,generation_2023_24,generation_2024_25,generation_2007_08,plant_load_factor_2015_16,plant_load_factor_2016_17,plant_load_factor_2017_18,plant_load_factor_2018_19,plant_load_factor_2019_20,plant_load_factor_2020_21,plant_load_factor_2008_09,plant_load_factor_2009_10,plant_load_factor_2010_11,plant_load_factor_2011_12,plant_load_factor_2012_13,plant_load_factor_2013_14,plant_load_factor_2014_15,plant_load_factor_2021_22,plant_load_factor_2022_23,plant_load_factor_2023_24,plant_load_factor_2024_25,plant_load_factor_2007_08
gujarat-botad,Not Available,Not Available,Gujarat-Botad,Gujarat,Botad,Not Available,4.0,Not Available,operational,operational,2016,2015-16,2010-2019,wind,Not Available,6.4544832,5.739552,6.874848,7.505568,7.3399104,5.8099968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-devbhumi-dwarka,Not Available,Not Available,Gujarat-Devbhumi Dwarka,Gujarat,Devbhumi Dwarka,Not Available,820.215,Not Available,operational,operational,2011,2010-11,2010-2019,wind,Not Available,72.4112334,136.134999,163.062801,272.9775082,635.0673976,924.210716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-jamnagar,Not Available,Not Available,Gujarat-Jamnagar,Gujarat,Jamnagar,Not Available,2333.0,Not Available,operational,operational,1994,1993-94,1990-1999,wind,Not Available,1971.376668,2027.869815,2535.117387,2850.445851,2787.532822,2206.50606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-junagadh,Not Available,Not Available,Gujarat-Junagadh,Gujarat,Junagadh,Not Available,60.25,Not Available,operational,operational,2009,2009-10,2000-2009,wind,Not Available,97.2206532,86.452002,103.552398,113.052618,110.5574004,87.5130768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-kachchh,Not Available,Not Available,Gujarat-Kachchh,Gujarat,Kachchh,Not Available,5562.56,Not Available,operational,operational,2003,2002-03,2000-2009,wind,Not Available,2717.902194,2827.303315,3418.002554,4246.838014,6260.787598,5717.937401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-morbi,Not Available,Not Available,Gujarat-Morbi,Gujarat,Morbi,Not Available,25.5,Not Available,operational,operational,2017,2016-17,2010-2019,wind,Not Available,0.0,32.28498,38.67102,47.847996,46.7919288,37.0387296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-patan,Not Available,Not Available,Gujarat-Patan,Gujarat,Patan,Not Available,204.2,Not Available,operational,operational,2012,2012-13,2010-2019,wind,Not Available,126.1851466,284.3948016,340.6487184,383.1592464,374.7024259,296.6003366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-porbandar,Not Available,Not Available,Gujarat-Porbandar,Gujarat,Porbandar,Not Available,136.8,Not Available,operational,operational,2008,2008-09,2000-2009,wind,Not Available,108.919404,193.2794136,235.1198016,256.6904256,251.0249357,198.7018906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-rajkot,Not Available,Not Available,Gujarat-Rajkot,Gujarat,Rajkot,Not Available,670.775,Not Available,operational,operational,1995,1994-95,1990-1999,wind,Not Available,614.8298653,629.9517042,784.806867,856.807497,837.8966466,663.2474472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-rajkot-botad,Not Available,Not Available,Gujarat-Rajkot & Botad,Gujarat,Rajkot & Botad,Not Available,105.2,Not Available,operational,operational,2016,2015-16,2010-2019,wind,Not Available,6.4544832,5.739552,6.874848,7.505568,7.3399104,5.8099968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-surat,Not Available,Not Available,Gujarat-Surat,Gujarat,Surat,Not Available,1.5,Not Available,operational,operational,2017,2016-17,2010-2019,wind,Not Available,0.0,2.152332,2.578068,2.814588,2.7524664,2.1787488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-surendranagar,Not Available,Not Available,Gujarat-Surendranagar,Gujarat,Surendranagar,Not Available,360.2,Not Available,operational,operational,2011,2011-12,2010-2019,wind,Not Available,211.707049,343.2252096,457.177392,594.6286248,581.5044014,460.2969965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
