plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_group,year,fyear,decade,plant_slug,source,technology_type
Rithwik Energy Systems Ltd Andhra Pradesh Chittoor 6 2002-08-28,Andhra Pradesh,Chittoor,28-08-2002 00:00,6,Rithwik Energy Systems Ltd,operational,2002,2002-03,2000-2009,rithwik-energy-systems-ltd-andhra-pradesh-chittoor-6-2002-08-28,bio-power,
OM Shakthi Reenergies Ltd Andhra Pradesh Chittoor 6 2004-01-24,Andhra Pradesh,Chittoor,24-01-2004 00:00,6,OM Shakthi Reenergies Ltd,operational,2004,2003-04,2000-2009,om-shakthi-reenergies-ltd-andhra-pradesh-chittoor-6-2004-01-24,bio-power,
Greenko Energies Pvt Ltd Andhra Pradesh Y.S.R. (Kadapa) 6,Andhra Pradesh,Y.S.R. (Kadapa),N.A.,6,Greenko Energies Pvt Ltd,operational,N.A.,N.A.,N.A.,greenko-energies-pvt-ltd-andhra-pradesh-y-s-r-kadapa-6,bio-power,
Vamshi Industries Ltd. Andhra Pradesh East Godavari 4 2001-04-20,Andhra Pradesh,East Godavari,20-04-2001 00:00,4,Vamshi Industries Ltd.,operational,2001,2001-02,2000-2009,vamshi-industries-ltd-andhra-pradesh-east-godavari-4-2001-04-20,bio-power,
Sudha Agro Oil & Chemicals Industries Ltd Andhra Pradesh East Godavari 4 2001-12-27,Andhra Pradesh,East Godavari,27-12-2001 00:00,4,Sudha Agro Oil & Chemicals Industries Ltd,operational,2001,2001-02,2000-2009,sudha-agro-oil-chemicals-industries-ltd-andhra-pradesh-east-godavari-4-2001-12-27,bio-power,
Shree Papers Ltd Andhra Pradesh East Godavari 4 2003-02-23,Andhra Pradesh,East Godavari,23-02-2003 00:00,4,Shree Papers Ltd,operational,2003,2002-03,2000-2009,shree-papers-ltd-andhra-pradesh-east-godavari-4-2003-02-23,bio-power,
Jocil Limited Andhra Pradesh Guntur 6 2001-03-23,Andhra Pradesh,Guntur,23-03-2001 00:00,6,Jocil Limited,operational,2001,2000-01,2000-2009,jocil-limited-andhra-pradesh-guntur-6-2001-03-23,bio-power,
Matix Power (p) Ltd Andhra Pradesh Guntur 4.5 2001-08-08,Andhra Pradesh,Guntur,08-08-2001 00:00,4.5,Matix Power (p) Ltd,operational,2001,2001-02,2000-2009,matix-power-p-ltd-andhra-pradesh-guntur-4-5-2001-08-08,bio-power,
Greenko Energies Pvt Ltd Andhra Pradesh Guntur 6 2002-07-19,Andhra Pradesh,Guntur,19-07-2002 00:00,6,Greenko Energies Pvt Ltd,operational,2002,2002-03,2000-2009,greenko-energies-pvt-ltd-andhra-pradesh-guntur-6-2002-07-19,bio-power,
Satyamaharshi Power Corpn Ltd Andhra Pradesh Guntur 6 2004-07-13,Andhra Pradesh,Guntur,13-07-2004 00:00,6,Satyamaharshi Power Corpn Ltd,operational,2004,2004-05,2000-2009,satyamaharshi-power-corpn-ltd-andhra-pradesh-guntur-6-2004-07-13,bio-power,
Velagapudi Power Generation Ltd Andhra Pradesh Guntur 4 2006-11-13,Andhra Pradesh,Guntur,13-11-2006 00:00,4,Velagapudi Power Generation Ltd,operational,2006,2006-07,2000-2009,velagapudi-power-generation-ltd-andhra-pradesh-guntur-4-2006-11-13,bio-power,
HCL Agro Power Ltd Andhra Pradesh Krishna 6 2000-10-24,Andhra Pradesh,Krishna,24-10-2000 00:00,6,HCL Agro Power Ltd,operational,2000,2000-01,2000-2009,hcl-agro-power-ltd-andhra-pradesh-krishna-6-2000-10-24,bio-power,
Roshni Power Tech Ltd Andhra Pradesh Krishna 6 2001-08-30,Andhra Pradesh,Krishna,30-08-2001 00:00,6,Roshni Power Tech Ltd,operational,2001,2001-02,2000-2009,roshni-power-tech-ltd-andhra-pradesh-krishna-6-2001-08-30,bio-power,
Satyakala Power Projects (P) Ltd Andhra Pradesh Krishna 4 2001-11-02,Andhra Pradesh,Krishna,02-11-2001 00:00,4,Satyakala Power Projects (P) Ltd,operational,2001,2001-02,2000-2009,satyakala-power-projects-p-ltd-andhra-pradesh-krishna-4-2001-11-02,bio-power,
Vijaya Agro Products (p) Ltd Andhra Pradesh Krishna 4 2001-12-24,Andhra Pradesh,Krishna,24-12-2001 00:00,4,Vijaya Agro Products (p) Ltd,operational,2001,2001-02,2000-2009,vijaya-agro-products-p-ltd-andhra-pradesh-krishna-4-2001-12-24,bio-power,
Veeraiah Non-Conventional Power Projects Ltd. Andhra Pradesh Krishna 4 2002-10-26,Andhra Pradesh,Krishna,26-10-2002 00:00,4,Veeraiah Non-Conventional Power Projects Ltd.,operational,2002,2002-03,2000-2009,veeraiah-non-conventional-power-projects-ltd-andhra-pradesh-krishna-4-2002-10-26,bio-power,
Balaji Agro Oils Ltd Andhra Pradesh Krishna 4.5 2003-06-01,Andhra Pradesh,Krishna,01-06-2003 00:00,4.5,Balaji Agro Oils Ltd,operational,2003,2003-04,2000-2009,balaji-agro-oils-ltd-andhra-pradesh-krishna-4-5-2003-06-01,bio-power,
Rayalaseema Green Energy Ltd Andhra Pradesh Kurnool 5.5 2001-02-14,Andhra Pradesh,Kurnool,14-02-2001 00:00,5.5,Rayalaseema Green Energy Ltd,operational,2001,2000-01,2000-2009,rayalaseema-green-energy-ltd-andhra-pradesh-kurnool-5-5-2001-02-14,bio-power,
Suchand Power Gen.(p) Ltd Andhra Pradesh Kurnool 6 2002-11-28,Andhra Pradesh,Kurnool,28-11-2002 00:00,6,Suchand Power Gen.(p) Ltd,operational,2002,2002-03,2000-2009,suchand-power-gen-p-ltd-andhra-pradesh-kurnool-6-2002-11-28,bio-power,
SLS Power Ltd Andhra Pradesh Nellore 6 2001-08-30,Andhra Pradesh,Nellore,30-08-2001 00:00,6,SLS Power Ltd,operational,2001,2001-02,2000-2009,sls-power-ltd-andhra-pradesh-nellore-6-2001-08-30,bio-power,
Bollineni Castings & Steels Ltd Andhra Pradesh Nellore 6 2003-10-07,Andhra Pradesh,Nellore,07-10-2003 00:00,6,Bollineni Castings & Steels Ltd,operational,2003,2003-04,2000-2009,bollineni-castings-steels-ltd-andhra-pradesh-nellore-6-2003-10-07,bio-power,
Jyothi Bio Energy Ltd Andhra Pradesh Prakasam 4.5 2000-11-17,Andhra Pradesh,Prakasam,17-11-2000 00:00,4.5,Jyothi Bio Energy Ltd,operational,2000,2000-01,2000-2009,jyothi-bio-energy-ltd-andhra-pradesh-prakasam-4-5-2000-11-17,bio-power,
Agri Gold Projects Ltd Andhra Pradesh Prakasam 6 2003-06-19,Andhra Pradesh,Prakasam,19-06-2003 00:00,6,Agri Gold Projects Ltd,operational,2003,2003-04,2000-2009,agri-gold-projects-ltd-andhra-pradesh-prakasam-6-2003-06-19,bio-power,
Jyothi Bio Energy Ltd Andhra Pradesh Prakasam 6 2003-11-14,Andhra Pradesh,Prakasam,14-11-2003 00:00,6,Jyothi Bio Energy Ltd,operational,2003,2003-04,2000-2009,jyothi-bio-energy-ltd-andhra-pradesh-prakasam-6-2003-11-14,bio-power,
Clarion Power Corp.Ltd Andhra Pradesh Prakasam 12 2004-01-23,Andhra Pradesh,Prakasam,23-01-2004 00:00,12,Clarion Power Corp.Ltd,operational,2004,2003-04,2000-2009,clarion-power-corp-ltd-andhra-pradesh-prakasam-12-2004-01-23,bio-power,
Singaraya Hills Green Power Genco (p) Ltd. Andhra Pradesh Prakasam 8 2008-07-13,Andhra Pradesh,Prakasam,13-07-2008 00:00,8,Singaraya Hills Green Power Genco (p) Ltd.,operational,2008,2008-09,2000-2009,singaraya-hills-green-power-genco-p-ltd-andhra-pradesh-prakasam-8-2008-07-13,bio-power,
Varam Power Projects (P) Ltd Andhra Pradesh Srikakulam 6 2001-12-01,Andhra Pradesh,Srikakulam,01-12-2001 00:00,6,Varam Power Projects (P) Ltd,operational,2001,2001-02,2000-2009,varam-power-projects-p-ltd-andhra-pradesh-srikakulam-6-2001-12-01,bio-power,
Perpetual Energy Systems Ltd. Andhra Pradesh Vizianagaram 6 2003-03-23,Andhra Pradesh,Vizianagaram,23-03-2003 00:00,6,Perpetual Energy Systems Ltd.,operational,2003,2002-03,2000-2009,perpetual-energy-systems-ltd-andhra-pradesh-vizianagaram-6-2003-03-23,bio-power,
Vishnu Vidyuth India Ltd Andhra Pradesh Visakhapatnam 7.5 2013-01-11,Andhra Pradesh,Visakhapatnam,11-01-2013 00:00,7.5,Vishnu Vidyuth India Ltd,operational,2013,2012-13,2010-2019,vishnu-vidyuth-india-ltd-andhra-pradesh-visakhapatnam-7-5-2013-01-11,bio-power,
Gowthami Solvent Oil Ltd Andhra Pradesh West Godavari 2.75 1996-03-31,Andhra Pradesh,West Godavari,31-03-1996 00:00,2.75,Gowthami Solvent Oil Ltd,operational,1996,1995-96,1990-1999,gowthami-solvent-oil-ltd-andhra-pradesh-west-godavari-2-75-1996-03-31,bio-power,
Sri Kalyani Agro Products & Industries Limited Andhra Pradesh West Godavari 4 2002-12-03,Andhra Pradesh,West Godavari,03-12-2002 00:00,4,Sri Kalyani Agro Products & Industries Limited,operational,2002,2002-03,2000-2009,sri-kalyani-agro-products-industries-limited-andhra-pradesh-west-godavari-4-2002-12-03,bio-power,
Shree Vani Sugars & Industries Ltd Andhra Pradesh Chittoor 9 2003-08-08,Andhra Pradesh,Chittoor,08-08-2003 00:00,9,Shree Vani Sugars & Industries Ltd,operational,2003,2003-04,2000-2009,shree-vani-sugars-industries-ltd-andhra-pradesh-chittoor-9-2003-08-08,bio-power,
Sudulagunta Sugars Ltd Andhra Pradesh Chittoor 8 1999-06-09,Andhra Pradesh,Chittoor,09-06-1999 00:00,8,Sudulagunta Sugars Ltd,operational,1999,1999-00,1990-1999,sudulagunta-sugars-ltd-andhra-pradesh-chittoor-8-1999-06-09,bio-power,
Nava Bharat Ventures Ltd. Andhra Pradesh East Godavari 9 2005-11-23,Andhra Pradesh,East Godavari,23-11-2005 00:00,9,Nava Bharat Ventures Ltd.,operational,2005,2005-06,2000-2009,nava-bharat-ventures-ltd-andhra-pradesh-east-godavari-9-2005-11-23,bio-power,
Sri Sarvaraya Sugars Ltd Andhra Pradesh East Godavari 19.65 2008-12-25,Andhra Pradesh,East Godavari,25-12-2008 00:00,19.65,Sri Sarvaraya Sugars Ltd,operational,2008,2008-09,2000-2009,sri-sarvaraya-sugars-ltd-andhra-pradesh-east-godavari-19-65-2008-12-25,bio-power,
KCP Sugar Industries & Corp.Ltd Andhra Pradesh Krishna 12 2005-12-26,Andhra Pradesh,Krishna,26-12-2005 00:00,12,KCP Sugar Industries & Corp.Ltd,operational,2005,2005-06,2000-2009,kcp-sugar-industries-corp-ltd-andhra-pradesh-krishna-12-2005-12-26,bio-power,
KCP Sugar Industries & Corp.Ltd Andhra Pradesh Krishna 5 2005-12-26,Andhra Pradesh,Krishna,26-12-2005 00:00,5,KCP Sugar Industries & Corp.Ltd,operational,2005,2005-06,2000-2009,kcp-sugar-industries-corp-ltd-andhra-pradesh-krishna-5-2005-12-26,bio-power,
Saritha Sugars Ltd Andhra Pradesh Nellore 6 01.04.2001,Andhra Pradesh,Nellore,04-01-2001 00:00,6,Saritha Sugars Ltd,operational,2001,2000-01,2000-2009,saritha-sugars-ltd-andhra-pradesh-nellore-6-01-04-2001,bio-power,
Empee Power company (I) Ltd Andhra Pradesh Nellore 20 2009-12-02,Andhra Pradesh,Nellore,02-12-2009 00:00,20,Empee Power company (I) Ltd,operational,2009,2009-10,2000-2009,empee-power-company-i-ltd-andhra-pradesh-nellore-20-2009-12-02,bio-power,
GMR Industries Ltd. Andhra Pradesh Srikakulam 16 2001-08-15,Andhra Pradesh,Srikakulam,15-08-2001 00:00,16,GMR Industries Ltd.,operational,2001,2001-02,2000-2009,gmr-industries-ltd-andhra-pradesh-srikakulam-16-2001-08-15,bio-power,
Chodavaram Co-op. Sugars Ltd Andhra Pradesh Visakhapatnam 14 2003-04-06,Andhra Pradesh,Visakhapatnam,06-04-2003 00:00,14,Chodavaram Co-op. Sugars Ltd,operational,2003,2003-04,2000-2009,chodavaram-co-op-sugars-ltd-andhra-pradesh-visakhapatnam-14-2003-04-06,bio-power,
The Etikoppaka Co.op Agrl. & Industrial Society Ltd. Andhra Pradesh Visakhapatnam 4.5 2001-03-01,Andhra Pradesh,Visakhapatnam,01-03-2001 00:00,4.5,The Etikoppaka Co.op Agrl. & Industrial Society Ltd.,operational,2001,2000-01,2000-2009,the-etikoppaka-co-op-agrl-industrial-society-ltd-andhra-pradesh-visakhapatnam-4-5-2001-03-01,bio-power,
NCS Sugars ltd. Andhra Pradesh Vizianagaram 20 2007-06-15,Andhra Pradesh,Vizianagaram,15-06-2007 00:00,20,NCS Sugars ltd.,operational,2007,2007-08,2000-2009,ncs-sugars-ltd-andhra-pradesh-vizianagaram-20-2007-06-15,bio-power,
Andhra Sugars Ltd. Andhra Pradesh West Godavari 7 1999-01-21,Andhra Pradesh,West Godavari,21-01-1999 00:00,7,Andhra Sugars Ltd.,operational,1999,1998-99,1990-1999,andhra-sugars-ltd-andhra-pradesh-west-godavari-7-1999-01-21,bio-power,
Krishnaveni Sugars Ltd Andhra Pradesh West Godavari 28 2003-10-19,Andhra Pradesh,West Godavari,19-10-2003 00:00,28,Krishnaveni Sugars Ltd,operational,2003,2003-04,2000-2009,krishnaveni-sugars-ltd-andhra-pradesh-west-godavari-28-2003-10-19,bio-power,
Jeypore Sugars Company Ltd (Unit II) Andhra Pradesh West Godavari 16.8 2003-10-19,Andhra Pradesh,West Godavari,19-10-2003 00:00,16.8,Jeypore Sugars Company Ltd (Unit II),operational,2003,2003-04,2000-2009,jeypore-sugars-company-ltd-unit-ii-andhra-pradesh-west-godavari-16-8-2003-10-19,bio-power,
Jeypore Sugars Company Ltd Andhra Pradesh West Godavari 12 2003-10-19,Andhra Pradesh,West Godavari,19-10-2003 00:00,12,Jeypore Sugars Company Ltd,operational,2003,2003-04,2000-2009,jeypore-sugars-company-ltd-andhra-pradesh-west-godavari-12-2003-10-19,bio-power,
Lalitha Enterprises Andhra Pradesh East Godavari 0.5 2003-08-15,Andhra Pradesh,East Godavari,15-08-2003 00:00,0.5,Lalitha Enterprises,operational,2003,2003-04,2000-2009,lalitha-enterprises-andhra-pradesh-east-godavari-0-5-2003-08-15,bio-power,
Sri Murali Mohana Para Boiled Rice Mill Andhra Pradesh East Godavari 0.65 2003-08-26,Andhra Pradesh,East Godavari,26-08-2003 00:00,0.65,Sri Murali Mohana Para Boiled Rice Mill,operational,2003,2003-04,2000-2009,sri-murali-mohana-para-boiled-rice-mill-andhra-pradesh-east-godavari-0-65-2003-08-26,bio-power,
Sri Ramadas Paper Boards (P) Ltd Andhra Pradesh East Godavari 4 2006-06-27,Andhra Pradesh,East Godavari,27-06-2006 00:00,4,Sri Ramadas Paper Boards (P) Ltd,operational,2006,2006-07,2000-2009,sri-ramadas-paper-boards-p-ltd-andhra-pradesh-east-godavari-4-2006-06-27,bio-power,
Surya Chandra Paper Mills Ltd Andhra Pradesh East Godavari 3 2007-11-27,Andhra Pradesh,East Godavari,27-11-2007 00:00,3,Surya Chandra Paper Mills Ltd,operational,2007,2007-08,2000-2009,surya-chandra-paper-mills-ltd-andhra-pradesh-east-godavari-3-2007-11-27,bio-power,
Sri Satyanarayana Raw & Boiled Rice (P) Ltd Andhra Pradesh West Godavari 0.75 2008-03-31,Andhra Pradesh,West Godavari,31-03-2008 00:00,0.75,Sri Satyanarayana Raw & Boiled Rice (P) Ltd,operational,2008,2007-08,2000-2009,sri-satyanarayana-raw-boiled-rice-p-ltd-andhra-pradesh-west-godavari-0-75-2008-03-31,bio-power,
Delta Paper Mills Ltd Andhra Pradesh West Godavari 9.9 2007-12-01,Andhra Pradesh,West Godavari,01-12-2007 00:00,9.9,Delta Paper Mills Ltd,operational,2007,2007-08,2000-2009,delta-paper-mills-ltd-andhra-pradesh-west-godavari-9-9-2007-12-01,bio-power,
Sree Godavari Kraft Paper (p) ltd Andhra Pradesh West Godavari 3 2008-11-15,Andhra Pradesh,West Godavari,15-11-2008 00:00,3,Sree Godavari Kraft Paper (p) ltd,operational,2008,2008-09,2000-2009,sree-godavari-kraft-paper-p-ltd-andhra-pradesh-west-godavari-3-2008-11-15,bio-power,
Sri Gowthami Rice Industries Ltd Andhra Pradesh East Godavari 0.75 2009-03-25,Andhra Pradesh,East Godavari,25-03-2009 00:00,0.75,Sri Gowthami Rice Industries Ltd,operational,2009,2008-09,2000-2009,sri-gowthami-rice-industries-ltd-andhra-pradesh-east-godavari-0-75-2009-03-25,bio-power,
Sirius Overseas Pvt. Ltd Andhra Pradesh East Godavari 9 2009-01-04,Andhra Pradesh,East Godavari,04-01-2009 00:00,9,Sirius Overseas Pvt. Ltd,operational,2009,2008-09,2000-2009,sirius-overseas-pvt-ltd-andhra-pradesh-east-godavari-9-2009-01-04,bio-power,
Seven Hills Papers (P) Ltd Andhra Pradesh East Godavari 1.2 2009-02-25,Andhra Pradesh,East Godavari,25-02-2009 00:00,1.2,Seven Hills Papers (P) Ltd,operational,2009,2008-09,2000-2009,seven-hills-papers-p-ltd-andhra-pradesh-east-godavari-1-2-2009-02-25,bio-power,
Sri Lalitha Enterprises Industries Ltd (Unit II) Andhra Pradesh East Godavari 4.7 2009-02-25,Andhra Pradesh,East Godavari,25-02-2009 00:00,4.7,Sri Lalitha Enterprises Industries Ltd (Unit II),operational,2009,2008-09,2000-2009,sri-lalitha-enterprises-industries-ltd-unit-ii-andhra-pradesh-east-godavari-4-7-2009-02-25,bio-power,
Pallavi Enterprises Andhra Pradesh Krishna 2.5 2010-02-10,Andhra Pradesh,Krishna,10-02-2010 00:00,2.5,Pallavi Enterprises,operational,2010,2009-10,2010-2019,pallavi-enterprises-andhra-pradesh-krishna-2-5-2010-02-10,bio-power,
MGRRice Industries Andhra Pradesh East Godavari 0.89 2013-07-01,Andhra Pradesh,East Godavari,01-07-2013 00:00,0.89,MGRRice Industries,operational,2013,2013-14,2010-2019,mgrrice-industries-andhra-pradesh-east-godavari-0-89-2013-07-01,bio-power,
Adilaxmi Industries Andhra Pradesh East Godavari 0.41 2014-04-01,Andhra Pradesh,East Godavari,01-04-2014 00:00,0.41,Adilaxmi Industries,operational,2014,2014-15,2010-2019,adilaxmi-industries-andhra-pradesh-east-godavari-0-41-2014-04-01,bio-power,
Naga Hanuman Solvent Oils Pvt Ltd Andhra Pradesh West Godavari 1.2 2013-12-01,Andhra Pradesh,West Godavari,01-12-2013 00:00,1.2,Naga Hanuman Solvent Oils Pvt Ltd,operational,2013,2013-14,2010-2019,naga-hanuman-solvent-oils-pvt-ltd-andhra-pradesh-west-godavari-1-2-2013-12-01,bio-power,
Nava Bharat Agro Products Ltd Andhra Pradesh West Godavari 0.95 2014-09-12,Andhra Pradesh,West Godavari,12-09-2014 00:00,0.95,Nava Bharat Agro Products Ltd,operational,2014,2014-15,2010-2019,nava-bharat-agro-products-ltd-andhra-pradesh-west-godavari-0-95-2014-09-12,bio-power,
Ananda Enterprises (India) Pvt Ltd Andhra Pradesh West Godavari 2 2014-04-01,Andhra Pradesh,West Godavari,01-04-2014 00:00,2,Ananda Enterprises (India) Pvt Ltd,operational,2014,2014-15,2010-2019,ananda-enterprises-india-pvt-ltd-andhra-pradesh-west-godavari-2-2014-04-01,bio-power,
Shree Gowthamee Rice Industries (P) Limited Andhra Pradesh East Godavari 0.58 2014-02-01,Andhra Pradesh,East Godavari,01-02-2014 00:00,0.58,Shree Gowthamee Rice Industries (P) Limited,operational,2014,2013-14,2010-2019,shree-gowthamee-rice-industries-p-limited-andhra-pradesh-east-godavari-0-58-2014-02-01,bio-power,
Aroma Biotech Pvt Ltd Andhra Pradesh West Godavari 2.2 2012-05-12,Andhra Pradesh,West Godavari,12-05-2012 00:00,2.2,Aroma Biotech Pvt Ltd,operational,2012,2012-13,2010-2019,aroma-biotech-pvt-ltd-andhra-pradesh-west-godavari-2-2-2012-05-12,bio-power,
Vijaynagar Bio- Tech Ltd Andhra Pradesh Vizianagaram 1.2 2013-02-20,Andhra Pradesh,Vizianagaram,20-02-2013 00:00,1.2,Vijaynagar Bio- Tech Ltd,operational,2013,2012-13,2010-2019,vijaynagar-bio-tech-ltd-andhra-pradesh-vizianagaram-1-2-2013-02-20,bio-power,
Nava Bharat Agro Products Ltd Andhra Pradesh West Godavari 1 2015-03-15,Andhra Pradesh,West Godavari,15-03-2015 00:00,1,Nava Bharat Agro Products Ltd,operational,2015,2014-15,2010-2019,nava-bharat-agro-products-ltd-andhra-pradesh-west-godavari-1-2015-03-15,bio-power,
Venkatarama Oil Industries Limited. Andhra Pradesh East Godavari 1.3 2015-08-01,Andhra Pradesh,East Godavari,01-08-2015 00:00,1.3,Venkatarama Oil Industries Limited.,operational,2015,2015-16,2010-2019,venkatarama-oil-industries-limited-andhra-pradesh-east-godavari-1-3-2015-08-01,bio-power,
Veda Bio Fuel Pvt Ltd Andhra Pradesh Vizianagaram 3 2016-03-15,Andhra Pradesh,Vizianagaram,15-03-2016 00:00,3,Veda Bio Fuel Pvt Ltd,operational,2016,2015-16,2010-2019,veda-bio-fuel-pvt-ltd-andhra-pradesh-vizianagaram-3-2016-03-15,bio-power,
Shree Gowthamee Rice Industries (P) Limited Andhra Pradesh East Godavari 0.88 2016-06-01,Andhra Pradesh,East Godavari,01-06-2016 00:00,0.88,Shree Gowthamee Rice Industries (P) Limited,operational,2016,2016-17,2010-2019,shree-gowthamee-rice-industries-p-limited-andhra-pradesh-east-godavari-0-88-2016-06-01,bio-power,
Balaji Boiled & Raw Rice Mill Andhra Pradesh East Godavari 0.89 2016-06-01,Andhra Pradesh,East Godavari,01-06-2016 00:00,0.89,Balaji Boiled & Raw Rice Mill,operational,2016,2016-17,2010-2019,balaji-boiled-raw-rice-mill-andhra-pradesh-east-godavari-0-89-2016-06-01,bio-power,
Nava Bharath Ltd Andhra Pradesh West Godavari 6 2017-07-01,Andhra Pradesh,West Godavari,01-07-2017 00:00,6,Nava Bharath Ltd,operational,2017,2017-18,2010-2019,nava-bharath-ltd-andhra-pradesh-west-godavari-6-2017-07-01,bio-power,
Sindhura Paper Pvt Ltd Andhra Pradesh West Godavari 3 2017-07-01,Andhra Pradesh,West Godavari,01-07-2017 00:00,3,Sindhura Paper Pvt Ltd,operational,2017,2017-18,2010-2019,sindhura-paper-pvt-ltd-andhra-pradesh-west-godavari-3-2017-07-01,bio-power,
Others (districts not specified) [Waste to Energy (Off-grid)] Andhra Pradesh N.A. 29.56,Andhra Pradesh,N.A.,N.A.,29.56,Others (districts not specified) [Waste to Energy (Off-grid)],operational,N.A.,N.A.,N.A.,others-districts-not-specified-waste-to-energy-off-grid-andhra-pradesh-n-a-29-56,bio-power,
Others (districts not specified) [Non-Bagasse based cogen.] Andhra Pradesh N.A. 482,Andhra Pradesh,N.A.,N.A.,48.02,Others (districts not specified) [Non-Bagasse based cogen.],operational,N.A.,N.A.,N.A.,others-districts-not-specified-non-bagasse-based-cogen-andhra-pradesh-n-a-482,bio-power,
Others (districts not specified) (Waste to Energy) Andhra Pradesh N.A. 53.16,Andhra Pradesh,N.A.,N.A.,53.16,Others (districts not specified) (Waste to Energy),operational,N.A.,N.A.,N.A.,others-districts-not-specified-waste-to-energy-andhra-pradesh-n-a-53-16,bio-power,
Others (districts not specified) [Non-Bagasse based cogen.] Assam N.A. 2,Assam,N.A.,N.A.,2,Others (districts not specified) [Non-Bagasse based cogen.],operational,N.A.,N.A.,N.A.,others-districts-not-specified-non-bagasse-based-cogen-assam-n-a-2,bio-power,
Harinagar Sugar Mills Ltd Bihar West Champaran 14.5,Bihar,West Champaran,N.A.,14.5,Harinagar Sugar Mills Ltd,operational,N.A.,N.A.,N.A.,harinagar-sugar-mills-ltd-bihar-west-champaran-14-5,bio-power,
New Swadeshi Sugar Mill Ltd Bihar West Champaran 10,Bihar,West Champaran,N.A.,10,New Swadeshi Sugar Mill Ltd,operational,N.A.,N.A.,N.A.,new-swadeshi-sugar-mill-ltd-bihar-west-champaran-10,bio-power,
Others (districts not specified) [Biomass & bagasse based cogen.] Bihar N.A. 88,Bihar,N.A.,N.A.,88,Others (districts not specified) [Biomass & bagasse based cogen.],operational,N.A.,N.A.,N.A.,others-districts-not-specified-biomass-bagasse-based-cogen-bihar-n-a-88,bio-power,
Others (districts not specified) [Waste to Energy (Off-grid)] Bihar N.A. 1.32,Bihar,N.A.,N.A.,1.32,Others (districts not specified) [Waste to Energy (Off-grid)],operational,N.A.,N.A.,N.A.,others-districts-not-specified-waste-to-energy-off-grid-bihar-n-a-1-32,bio-power,
Others (districts not specified) [Non-Bagasse based cogen.] Bihar N.A. 26.4,Bihar,N.A.,N.A.,26.4,Others (districts not specified) [Non-Bagasse based cogen.],operational,N.A.,N.A.,N.A.,others-districts-not-specified-non-bagasse-based-cogen-bihar-n-a-26-4,bio-power,
Agrawal Vidut Ltd. Chhattisgarh Raipur 8.5,Chhattisgarh,Raipur,N.A.,8.5,Agrawal Vidut Ltd.,operational,N.A.,N.A.,N.A.,agrawal-vidut-ltd-chhattisgarh-raipur-8-5,bio-power,
Neeraj Power Pvt Ltd. Chhattisgarh Raipur 7.5,Chhattisgarh,Raipur,N.A.,7.5,Neeraj Power Pvt Ltd.,operational,N.A.,N.A.,N.A.,neeraj-power-pvt-ltd-chhattisgarh-raipur-7-5,bio-power,
South Asian Agro Industries Ltd Chhattisgarh Raipur 9.8,Chhattisgarh,Raipur,N.A.,9.8,South Asian Agro Industries Ltd,operational,N.A.,N.A.,N.A.,south-asian-agro-industries-ltd-chhattisgarh-raipur-9-8,bio-power,
Vandana Vidhyt Ltd Chhattisgarh Bilaspur 8,Chhattisgarh,Bilaspur,N.A.,8,Vandana Vidhyt Ltd,operational,N.A.,N.A.,N.A.,vandana-vidhyt-ltd-chhattisgarh-bilaspur-8,bio-power,
Shudha Agro Oil and Chemical Industries Ltd Chhattisgarh Bilaspur 9.9,Chhattisgarh,Bilaspur,N.A.,9.9,Shudha Agro Oil and Chemical Industries Ltd,operational,N.A.,N.A.,N.A.,shudha-agro-oil-and-chemical-industries-ltd-chhattisgarh-bilaspur-9-9,bio-power,
Real (N.R.I.) Power Pvt Ltd Chhattisgarh Bilaspur 7.5,Chhattisgarh,Bilaspur,N.A.,7.5,Real (N.R.I.) Power Pvt Ltd,operational,N.A.,N.A.,N.A.,real-n-r-i-power-pvt-ltd-chhattisgarh-bilaspur-7-5,bio-power,
KVK Bio-Energy Pvt Ltd. Chhattisgarh Janjgir-Champa 15,Chhattisgarh,Janjgir-Champa,N.A.,15,KVK Bio-Energy Pvt Ltd.,operational,N.A.,N.A.,N.A.,kvk-bio-energy-pvt-ltd-chhattisgarh-janjgir-champa-15,bio-power,
Ecofren Power Project Ltd. Chhattisgarh Durg 8,Chhattisgarh,Durg,N.A.,8,Ecofren Power Project Ltd.,operational,N.A.,N.A.,N.A.,ecofren-power-project-ltd-chhattisgarh-durg-8,bio-power,
I.S.A. Power Pvt Ltd Chhattisgarh Dhamtari 8,Chhattisgarh,Dhamtari,N.A.,8,I.S.A. Power Pvt Ltd,operational,N.A.,N.A.,N.A.,i-s-a-power-pvt-ltd-chhattisgarh-dhamtari-8,bio-power,
Rukmini Power and Steel Ltd. Chhattisgarh Raigarh 10,Chhattisgarh,Raigarh,N.A.,10,Rukmini Power and Steel Ltd.,operational,N.A.,N.A.,N.A.,rukmini-power-and-steel-ltd-chhattisgarh-raigarh-10,bio-power,
Mahavir Energy and Coal Benefication Ltd. Chhattisgarh Raigarh 12,Chhattisgarh,Raigarh,N.A.,12,Mahavir Energy and Coal Benefication Ltd.,operational,N.A.,N.A.,N.A.,mahavir-energy-and-coal-benefication-ltd-chhattisgarh-raigarh-12,bio-power,
